lat,lon
0.344059,-78.133156
0.34604,-78.132215
0.346855,-78.132400
0.346890,-78.132490
0.346947,-78.132557
0.347010,-78.1325860
0.347110,-78.1325880
0.347190,-78.1325580
0.347240,-78.132502
0.347268,-78.132437
0.34729,-78.132341
0.34728,-78.132271
0.347242,-78.132200
0.347172,-78.132163
0.347076,-78.132148
0.34700,-78.132188
0.346967,-78.132211
0.346139,-78.132000
0.344007,-78.132985
