time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-02-26T13:54:44.876Z,0.3390539,-78.1407803,,24.789,,,0,network,,,,,,,,67,
2020-02-26T13:57:05.244Z,0.33871165942400694,-78.14015158452094,2246.0,12.0,0.0,0.5,10,gps,0.8,1.4,1.6,13.6,,,,66,
2020-02-26T13:57:37.447Z,0.3392334,-78.1400216,2246.5,23.53,,,0,network,,,,,,,,66,
2020-02-26T13:57:51.312Z,0.3389520524069667,-78.14008126035333,2246.0,8.5,314.8,0.97999996,14,gps,0.6,1.0,1.2,13.6,,,,66,
2020-02-26T14:00:01.421Z,0.3405704,-78.1402508,,23.604,,,0,network,,,,,,,,66,
