time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-03-03T13:45:44.161Z,0.3391249,-78.1411932,,31.27,,,0,network,,,,,,,,32,
2020-03-03T13:45:57.993Z,0.3391765197739005,-78.14095943234861,2248.0,11.5,0.0,0.88,8,gps,1.2,1.4,1.8,13.6,,,,32,
2020-03-03T13:46:07.309Z,0.3391196904703975,-78.14090059138834,2247.0,8.0,61.4,1.1999999,17,gps,0.6,1.0,1.2,13.6,,,,32,
2020-03-03T13:46:09.558Z,0.3391327,-78.1410449,,25.085,,,0,network,,,,,,,,32,
2020-03-03T13:46:24.000Z,0.33912685699760914,-78.14075290225446,2243.0,8.0,78.1,1.14,19,gps,0.4,0.8,0.8,13.6,,,,32,
2020-03-03T13:46:26.278Z,0.3391308,-78.1408667,,33.245,,,0,network,,,,,,,,32,
2020-03-03T13:46:40.000Z,0.3391046030446887,-78.14060747623444,2243.0,8.5,96.1,0.94,18,gps,0.4,0.8,1.0,13.6,,,,32,
2020-03-03T13:46:46.510Z,0.3391131106764078,-78.14058719202876,2228.0,10.5,0.0,0.9,8,gps,1.2,1.8,2.2,13.6,,,,32,
2020-03-03T13:46:56.000Z,0.3390745958313346,-78.14049012959003,2250.0,8.5,86.3,1.14,19,gps,0.4,0.8,0.8,13.6,,,,32,
2020-03-03T13:47:03.000Z,0.3390247654169798,-78.14042332582176,2249.0,18.0,0.0,1.5,7,gps,1.0,2.4,2.6,13.6,,,,32,
2020-03-03T13:47:10.320Z,0.3390252264216542,-78.14035912044346,2238.0,10.0,0.0,0.58,12,gps,0.8,1.2,1.6,13.6,,,,32,
2020-03-03T13:47:16.686Z,0.3390348656103015,-78.14034956507385,2236.0,11.0,27.0,1.23,8,gps,1.2,1.4,1.8,13.6,,,,32,
2020-03-03T13:47:18.761Z,0.3390188,-78.1403402,,24.157,,,0,network,,,,,,,,32,
2020-03-03T13:47:28.381Z,0.3390220832079649,-78.14017631113529,2246.0,14.5,0.0,2.32,6,gps,1.6,2.2,2.8,13.6,,,,32,
2020-03-03T13:47:30.445Z,0.3389793,-78.1403066,2246.5,21.566,,,0,network,,,,,,,,32,
2020-03-03T13:47:44.000Z,0.3390074148774147,-78.14010447822511,2246.0,6.5,120.3,1.3,19,gps,0.4,0.8,0.8,13.6,,,,32,
2020-03-03T13:47:46.038Z,0.338848,-78.1402585,2246.5,22.174,,,0,network,,,,,,,,32,
2020-03-03T13:48:00.000Z,0.3388672275468707,-78.14007145352662,2241.0,5.5,193.9,1.23,19,gps,0.4,0.8,0.8,13.6,,,,32,
2020-03-03T13:48:01.401Z,0.339179,-78.1401267,2246.5,36.52,,,0,network,,,,,,,,32,
2020-03-03T13:48:13.028Z,0.33875436522066593,-78.14008343964815,2241.0,4.5,235.6,0.95,17,gps,0.6,1.0,1.0,13.6,,,,32,
2020-03-03T13:48:15.221Z,0.3386873,-78.1400944,2246.5,21.607,,,0,network,,,,,,,,32,
2020-03-03T13:48:26.697Z,0.33862595446407795,-78.1401136983186,2233.0,10.0,174.6,1.27,9,gps,1.0,1.4,1.8,13.6,,,,32,
2020-03-03T13:48:28.902Z,0.3385789,-78.140016,,23.74,,,0,network,,,,,,,,32,
2020-03-03T13:48:43.000Z,0.3385160258039832,-78.14006499946117,2235.0,4.5,206.6,1.4,18,gps,0.4,0.8,1.0,13.6,,,,32,
2020-03-03T13:48:45.361Z,0.3386906,-78.1402044,2246.5,26.318,,,0,network,,,,,,,,32,
