time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-03-03T11:56:21.707Z,0.3416958265006542,-78.13554095104337,2234.0,10.5,74.1,6.0499997,11,gps,0.8,1.6,1.8,13.6,,,,42,
2020-03-03T11:57:05.966Z,0.3426,-78.1332552,2237.900146484375,25.455,,,0,network,,,,,,,,42,
2020-03-03T11:57:25.351Z,0.34345942083746195,-78.1333099398762,2237.0,8.5,21.8,3.58,12,gps,0.6,1.2,1.4,13.6,,,,42,
2020-03-03T12:01:55.296Z,0.3456386737525463,-78.13045548275113,2240.0,8.5,69.1,3.5,14,gps,0.6,1.0,1.2,13.6,,,,42,
