time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-03-03T12:05:45.000Z,0.34139910712838173,-78.13409255817533,2236.0,11.0,0.0,0.34,18,gps,0.6,1.0,1.2,13.6,,,,42,
2020-03-03T12:07:09.414Z,0.3415605425834656,-78.13433119095862,2239.0,7.5,298.4,6.0499997,20,gps,0.4,1.0,1.0,13.6,,,,41,
2020-03-03T12:08:20.173Z,0.3419408,-78.1386605,2241.60009765625,24.746,,,0,network,,,,,,,,41,
2020-03-03T12:09:37.260Z,0.3390228794887662,-78.14017538912594,2237.0,8.0,282.0,2.99,21,gps,0.4,0.8,1.0,13.6,,,,41,
2020-03-03T12:10:44.917Z,0.3388891043141484,-78.14105724915862,2232.0,19.0,0.0,0.61,11,gps,1.6,1.6,2.4,13.6,,,,41,
