time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-01-28T18:46:45.697Z,0.3388732,-78.1410971,,20.0,,,0,network,,,,,,,,37,
2020-01-28T18:47:38.000Z,0.33888411708176136,-78.14102782867849,2247.0,11.5,0.0,0.96,5,gps,1.6,2.6,3.0,13.6,,,,37,
2020-01-28T18:58:13.628Z,0.3388732,-78.1410971,,20.0,,,0,network,,,,,,,,36,
2020-01-28T18:58:31.277Z,0.33891433384269476,-78.14100410789251,2236.0,24.5,0.0,0.94,6,gps,1.6,1.6,2.4,13.6,,,,36,
2020-01-28T19:01:30.595Z,0.3392469,-78.140145,2246.10009765625,21.693,,,0,network,,,,,,,,35,
2020-01-28T19:03:26.708Z,0.339138,-78.1399677,2246.10009765625,21.832,,,0,network,,,,,,,,35,
