lat        lon        
0.339078   -78.140688 
0.33909    -78.140752 
0.339101   -78.140876 
0.339117   -78.140972 
0.339132   -78.141047 
0.339136   -78.141085 
0.339145   -78.141170 
0.339144   -78.141208 
0.339147   -78.141267 
0.339164   -78.141337 
0.339180   -78.141423 
0.339198   -78.141503 
0.339209   -78.141584 
0.339219   -78.141659 
0.339226   -78.141701 
0.339218   -78.141745 
0.339207   -78.141852 
0.339189   -78.142061 
0.339179   -78.142228 
